"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CRSK-1860","https://onemain.atlassian.net/browse/CRSK-1860",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","New Adverse Action code for PC holdout Test","CRSK-1859","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1971","https://onemain.atlassian.net/browse/CRSK-1971",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Powerlytics - Test Control volume split the work number volume 50/50","CRSK-1970","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1894","https://onemain.atlassian.net/browse/CRSK-1894",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","Adjust LB policy rules to ensure that the approval rates meet Credit Karma's threshold.","CRSK-1893","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1899","https://onemain.atlassian.net/browse/CRSK-1899","CRSK1-192","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-192","Task","New PC holdout strategy for AA","CRSK-1859","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1037","https://onemain.atlassian.net/browse/CRSK-1037","CRSK1-193","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-193","Task","2023 Credit Risk Testing Support February","CRSK-873","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1868","https://onemain.atlassian.net/browse/CRSK-1868",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","update DMPQ versioning in SM","CRSK-1867","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1947","https://onemain.atlassian.net/browse/CRSK-1947",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Task","expand sdl for 2 or more cells in each state group - lightbox backend.","CRSK-1946","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1789","https://onemain.atlassian.net/browse/CRSK-1789","CRSK1-195","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-195","Task","SM – copybook updates for creating new IPQ attributes in SF","CRSK-1669","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1740","https://onemain.atlassian.net/browse/CRSK-1740","CRSK1-196","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-196","Spike","Assess additional DA server needs","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CRSK-1741","https://onemain.atlassian.net/browse/CRSK-1741","CRSK1-197","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CRSK1-197","Task","Enable POC scoped SM components","CRSK-1698","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
