"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CITM-120","https://onemain.atlassian.net/browse/CITM-120","CITM1-109","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-109","Story","TransUnion","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-119","https://onemain.atlassian.net/browse/CITM-119","CITM1-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-110","Story","Plaid","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-118","https://onemain.atlassian.net/browse/CITM-118","CITM1-111","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-111","Story","Experian Strategy Manager","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-117","https://onemain.atlassian.net/browse/CITM-117","CITM1-112","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-112","Story","InstantID Lexis Nexus","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-116","https://onemain.atlassian.net/browse/CITM-116","CITM1-113","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-113","Story","Equifax Luminate","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-140","https://onemain.atlassian.net/browse/CITM-140","CITM1-117","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-117","Story","GIACT","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-142","https://onemain.atlassian.net/browse/CITM-142","CITM1-118","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-118","Story","Tangent Deposit21","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-159","https://onemain.atlassian.net/browse/CITM-159","CITM1-120","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-120","Story","Insurance EDW 5.8","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-164","https://onemain.atlassian.net/browse/CITM-164","CITM1-121","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-121","Story","Financial Insurance Management Corporation (FIMC)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-163","https://onemain.atlassian.net/browse/CITM-163","CITM1-122","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-122","Story","Better Business Bureau","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-162","https://onemain.atlassian.net/browse/CITM-162","CITM1-123","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-123","Story","Citrix Endpoint Management (F/K/A XenMobile)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-161","https://onemain.atlassian.net/browse/CITM-161","CITM1-124","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-124","Story","Kofax Transformation Designer","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-160","https://onemain.atlassian.net/browse/CITM-160","CITM1-125","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-125","Story","Frontapp","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-143","https://onemain.atlassian.net/browse/CITM-143","CITM1-126","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-126","Story","Transunion OTP","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-158","https://onemain.atlassian.net/browse/CITM-158","CITM1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-127","Story","Finicity","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-157","https://onemain.atlassian.net/browse/CITM-157","CITM1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-128","Story","Trellix ePO","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-156","https://onemain.atlassian.net/browse/CITM-156","CITM1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-129","Story","CPA (CPP)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-155","https://onemain.atlassian.net/browse/CITM-155","CITM1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-131","Story","Cards Front End","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-152","https://onemain.atlassian.net/browse/CITM-152","CITM1-132","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-132","Story","The Hartford","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-151","https://onemain.atlassian.net/browse/CITM-151","CITM1-133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-133","Story","O'Neil RS-SQL","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-150","https://onemain.atlassian.net/browse/CITM-150","CITM1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-134","Story","Kofax","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-149","https://onemain.atlassian.net/browse/CITM-149","CITM1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-135","Story","Esker Fax","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-148","https://onemain.atlassian.net/browse/CITM-148","CITM1-136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-136","Story","Customer Communications","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-147","https://onemain.atlassian.net/browse/CITM-147","CITM1-137","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-137","Story","App Server","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-146","https://onemain.atlassian.net/browse/CITM-146","CITM1-138","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-138","Story","Zendesk","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-145","https://onemain.atlassian.net/browse/CITM-145","CITM1-139","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-139","Story","Twilio","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-144","https://onemain.atlassian.net/browse/CITM-144","CITM1-140","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-140","Story","TruValidate (F/K/A IDVision)","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CITM-153","https://onemain.atlassian.net/browse/CITM-153","CITM1-141","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CITM1-141","Story","Account Resolution Center (ARC) Statement","CITM-110","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
