"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"AI-17","https://onemain.atlassian.net/browse/AI-17","AI1-6","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-6","Blocks","outward","AI-8","https://onemain.atlassian.net/browse/AI-8","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AI-20","https://onemain.atlassian.net/browse/AI-20","AI1-5","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-5","Blocks","inward","AI-8","https://onemain.atlassian.net/browse/AI-8","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AI-279","https://onemain.atlassian.net/browse/AI-279","AI1-105","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-105","Blocks","outward","AI-114","https://onemain.atlassian.net/browse/AI-114","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"AI-347","https://onemain.atlassian.net/browse/AI-347","AI1-187","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AI1-187","Blocks","outward","AI-114","https://onemain.atlassian.net/browse/AI-114","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
