"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"AUT-1269","https://onemain.atlassian.net/browse/AUT-1269","AUT1-87","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-87","Epic","Pull and Load CRM Data Into Bedrock","AUT-1004","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AUT-1243","https://onemain.atlassian.net/browse/AUT-1243","AUT1-88","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-88","Epic","OTP Integration","AUT-1004","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AUT-1242","https://onemain.atlassian.net/browse/AUT-1242","AUT1-89","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-89","Epic","Terms and conditions integration","AUT-1004","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AUT-1241","https://onemain.atlassian.net/browse/AUT-1241","AUT1-90","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-90","Epic","Find My App integration","AUT-1004","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AUT-1018","https://onemain.atlassian.net/browse/AUT-1018","AUT1-93","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-93","Epic","Bedrock Integration","AUT-1004","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AUT-2290","https://onemain.atlassian.net/browse/AUT-2290","AUT1-415","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-415","Task","Automated Regression Testing for 2025.07.102125","AUT-330","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"AUT-2289","https://onemain.atlassian.net/browse/AUT-2289","AUT1-416","https://onemainfinancial-migrationsandbox.atlassian.net/browse/AUT1-416","Task","Manual Regression Testing for E-2025.08","AUT-330","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
