"self","id","key","colorName","name"
"https://onemain.atlassian.net/rest/api/3/statuscategory/1","1","undefined","medium-gray","No Category"
"https://onemain.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do"
"https://onemain.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress"
"https://onemain.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done"
