"ProjectKey","ProjectName","TotalIssues","LastUpdatedDate","IncludeInAnalysis"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
,,"0","","False"
