"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"INSO-61","INSO1-101","Trigger","inward","INSO-149","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-101"
"INSO-68","INSO1-99","Trigger","outward","INSO-153","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-68","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-99"
"INSO-68","INSO1-99","Trigger","inward","INSO-153","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-68","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-99"
"INSO-169","INSO1-238","Trigger","inward","INSO-34","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-238"
"INSO-169","INSO1-238","Trigger","outward","INSO-34","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-169","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-238"
"INSO-110","INSO1-236","Trigger","inward","INSO-62","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-236"
"INSO-110","INSO1-236","Trigger","outward","INSO-62","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-110","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-236"
"INSO-97","INSO1-140","Trigger","inward","INSO-21","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-97","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-140"
"INSO-97","INSO1-140","Trigger","outward","INSO-21","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-97","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-140"
"INSO-240","INSO1-232","Trigger","inward","INSO-82","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-240","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-232"
"INSO-240","INSO1-232","Trigger","outward","INSO-82","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-240","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-232"
"INSO-205","INSO1-231","Trigger","inward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-205","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-231"
"INSO-205","INSO1-231","Trigger","outward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-205","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-231"
"INSO-208","INSO1-230","Trigger","inward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-208","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-230"
"INSO-208","INSO1-230","Trigger","outward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-208","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-230"
"INSO-187","INSO1-229","Trigger","inward","INSO-52","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-187","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-229"
"INSO-187","INSO1-229","Trigger","outward","INSO-52","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-187","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-229"
"INSO-182","INSO1-228","Trigger","inward","INSO-51","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-182","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-228"
"INSO-182","INSO1-228","Trigger","outward","INSO-51","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-182","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-228"
"INSO-195","INSO1-225","Trigger","inward","INSO-62","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-195","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-225"
"INSO-195","INSO1-225","Trigger","outward","INSO-62","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-195","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-225"
"INSO-152","INSO1-224","Trigger","inward","INSO-62","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-152","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-224"
"INSO-152","INSO1-224","Trigger","outward","INSO-62","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-152","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-224"
"INSO-151","INSO1-223","Trigger","inward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-151","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-223"
"INSO-151","INSO1-223","Trigger","outward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-151","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-223"
"INSO-150","INSO1-222","Trigger","inward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-150","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-222"
"INSO-150","INSO1-222","Trigger","outward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-150","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-222"
"INSO-149","INSO1-221","Trigger","inward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-149","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-221"
"INSO-149","INSO1-221","Trigger","outward","INSO-61","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-149","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-221"
"INSO-153","INSO1-220","Trigger","inward","INSO-68","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-153","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-220"
"INSO-153","INSO1-220","Trigger","outward","INSO-68","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/INSO-153","https://onemainfinancial-migrationsandbox.atlassian.net/browse/INSO1-220"
