"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"TRIM-7540","https://onemain.atlassian.net/browse/TRIM-7540","TRIM1-1176","https://onemainfinancial-migrationsandbox.atlassian.net/browse/TRIM1-1176","Story","As a user, I want to understand Trim lifecycle comms performance to identify CX improvement areas.","TRIM-186","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"TRIM-7541","https://onemain.atlassian.net/browse/TRIM-7541","TRIM1-1177","https://onemainfinancial-migrationsandbox.atlassian.net/browse/TRIM1-1177","Story","As an analyst, to accurately measure MAU I need to update unique users to Vantage Score query to include clicks from MyMoney dashboard.","TRIM-186","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"TRIM-4018","https://onemain.atlassian.net/browse/TRIM-4018","TRIM1-1178","https://onemainfinancial-migrationsandbox.atlassian.net/browse/TRIM1-1178","Story","Cleanup Mobile App Entry Point Feature Flag ","TRIM-4011","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"TRIM-7539","https://onemain.atlassian.net/browse/TRIM-7539","TRIM1-1179","https://onemainfinancial-migrationsandbox.atlassian.net/browse/TRIM1-1179","Story","As a user, I want to understand engagement with the Trim Dashboard in detail.","TRIM-186","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"TRIM-7538","https://onemain.atlassian.net/browse/TRIM-7538","TRIM1-1182","https://onemainfinancial-migrationsandbox.atlassian.net/browse/TRIM1-1182","Story","As a user, I want more detail on funnel performance, including key step changes in the journey.","TRIM-186","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
