"Id","Name","Description","DefaultWorkflow","IssueTypeMappingsCount","Self","GeneratedAt"
"10221","ER: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project ER","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10221","2025-09-24 15:58:20"
"10222","Enterprise Release WFS","","Enterprise Release WF v3","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10222","2025-09-24 15:58:20"
"10228","CICD Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Defect Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10228","2025-09-24 15:58:20"
"10231","Lane Team Workflow Scheme","","jira","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10231","2025-09-24 15:58:20"
"10233","TS: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Workflow for Project TS","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10233","2025-09-24 15:58:20"
"10236","Copy 2 of Archived copy of Non CICD Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.(this copy was created because a scheme was edited while linked to an archived/trashed project.) (This copy was automatically generated from a draft, when workflow scheme 'Archived copy of Non CICD Workflow Scheme' was made inactive.)","Non Code Task Workflow v2","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10236","2025-09-24 15:58:20"
"10244","DevOps Workflow Scheme","","CI Default Workflow","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10244","2025-09-24 15:58:20"
"10245","Product Team Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Non Code Task Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10245","2025-09-24 15:58:20"
"10246","Team 1.1 Workstream Screen Scheme","Screen Scheme for Workstream","jira","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10246","2025-09-24 15:58:20"
"10253","Product Team Workflow Scheme v2","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Non Code Task Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10253","2025-09-24 15:58:20"
"10256","MDCMS Workflow Scheme","","jira","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10256","2025-09-24 15:58:20"
"10257","Platform Team Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Defect Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10257","2025-09-24 15:58:20"
"10258","Non CICD Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Non Code Task Workflow v2","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10258","2025-09-24 15:58:20"
"10259","Copy 2 of Product Team Workflow Scheme v2","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","Non Code Task Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10259","2025-09-24 15:58:20"
"10261","Copy of Non CICD Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Non Code Task Workflow v2","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10261","2025-09-24 15:58:20"
"10268","AUTO: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project AUTO","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10268","2025-09-24 15:58:20"
"10270","ORL: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project ORL","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10270","2025-09-24 15:58:20"
"10286","Product Team Workflow Scheme v3","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","Product NonCode Workflow v7","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10286","2025-09-24 15:58:20"
"10288","Product Team Simple Workflow Scheme v1","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","Product NonCode Workflow v7","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10288","2025-09-24 15:58:20"
"10289","WL: Task Management Workflow Scheme","(Migrated on 26 Mar 2023 13:19 UTC)","Whole Loans Request Workflow (migrated)","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10289","2025-09-24 15:58:20"
"10290","SEC: Task Management Workflow Scheme (migrated)","(Migrated on 26 Mar 2023 16:01 UTC)","Securitization Deal Workflow1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10290","2025-09-24 15:58:20"
"10291","GS: Project Management Workflow Scheme","(Migrated on 26 Mar 2023 22:23 UTC)","GS: Task Workflow1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10291","2025-09-24 15:58:20"
"10292","Platform Team Workflow Scheme v2","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Defect Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10292","2025-09-24 15:58:20"
"10293","ORL Product Team Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme. (This copy was automatically generated from a draft, as an intermediate scheme for migration)","ORL Defect Workflow v1","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10293","2025-09-24 15:58:20"
"10296","MJR: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project MJR","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10296","2025-09-24 15:58:20"
"10297","MOD: Software Simplified Workflow Scheme","Generated by JIRA Software version 1001.0.0-SNAPSHOT. This workflow scheme is managed internally by Jira Software. Do not manually modify this workflow scheme.","Software Simplified Workflow for Project MOD","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10297","2025-09-24 15:58:20"
"10298","Standard Project Workflow Scheme","For projects created and stripped back to baseline default configurations","Standard workflow #1 v3","0","https://onemain.atlassian.net/rest/api/3/workflowscheme/10298","2025-09-24 15:58:20"
