"id","key","value","name","desc","type"
"jira.admin.announcement.banner.v2.content","jira.admin.announcement.banner.v2.content","{""version"":1,""type"":""doc"",""content"":[]}","jira.admin.announcement.banner.v2.content",,"string"
"jira.admin.announcement.banner.v2.bg-color","jira.admin.announcement.banner.v2.bg-color","green","jira.admin.announcement.banner.v2.bg-color",,"string"
"jira.admin.announcement.banner.v2.is-dismissable","jira.admin.announcement.banner.v2.is-dismissable","false","jira.admin.announcement.banner.v2.is-dismissable",,"boolean"
"jira.admin.announcement.banner.v2.is-enabled","jira.admin.announcement.banner.v2.is-enabled","false","jira.admin.announcement.banner.v2.is-enabled",,"boolean"
"jira.admin.announcement.banner.v2.visibility","jira.admin.announcement.banner.v2.visibility","private","jira.admin.announcement.banner.v2.visibility",,"enum"
"jira.admin.announcement.banner.v2.hash-id","jira.admin.announcement.banner.v2.hash-id","E5CE0B1F7TDAZH1IBTNH6PQ2TP9FLLO6","jira.admin.announcement.banner.v2.hash-id",,"string"
"jira.admin.compass.is-enabled-for-new-project","jira.admin.compass.is-enabled-for-new-project","true","jira.admin.compass.is-enabled-for-new-project",,"boolean"
"jira.admin.confluence.enable-sprint-retros","jira.admin.confluence.enable-sprint-retros","true","jira.admin.confluence.enable-sprint-retros",,"boolean"
"jira.admin.confluence.enable-content-creation-issue-top-actions","jira.admin.confluence.enable-content-creation-issue-top-actions","true","jira.admin.confluence.enable-content-creation-issue-top-actions",,"boolean"
"jira.admin.confluence.enable-content-creation-issue-confluence-content","jira.admin.confluence.enable-content-creation-issue-confluence-content","true","jira.admin.confluence.enable-content-creation-issue-confluence-content",,"boolean"
"jira.admin.confluence.enable-integrations","jira.admin.confluence.enable-integrations","true","jira.admin.confluence.enable-integrations",,"boolean"
"jira.explicit.field.association.feature.enabled","jira.explicit.field.association.feature.enabled","true","jira.explicit.field.association.feature.enabled","When false, disables explicit field association for all TMP projects.","boolean"
