"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"PLAQ-1176","https://onemain.atlassian.net/browse/PLAQ-1176","PLAQ1-69","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-69","Cloners","outward","PLAQ-1172","https://onemain.atlassian.net/browse/PLAQ-1172","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"PLAQ-1177","https://onemain.atlassian.net/browse/PLAQ-1177","PLAQ1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-60","Cloners","outward","PLAQ-1172","https://onemain.atlassian.net/browse/PLAQ-1172","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"PLAQ-1183","https://onemain.atlassian.net/browse/PLAQ-1183","PLAQ1-77","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-77","Cloners","outward","PLAQ-1182","https://onemain.atlassian.net/browse/PLAQ-1182","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"PLAQ-1184","https://onemain.atlassian.net/browse/PLAQ-1184","PLAQ1-76","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-76","Cloners","outward","PLAQ-1183","https://onemain.atlassian.net/browse/PLAQ-1183","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"PLAQ-1185","https://onemain.atlassian.net/browse/PLAQ-1185","PLAQ1-75","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-75","Cloners","outward","PLAQ-1166","https://onemain.atlassian.net/browse/PLAQ-1166","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"PLAQ-676","https://onemain.atlassian.net/browse/PLAQ-676","PLAQ1-41","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-41","Cloners","inward","PLAQ-861","https://onemain.atlassian.net/browse/PLAQ-861","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"PLAQ-736","https://onemain.atlassian.net/browse/PLAQ-736","PLAQ1-38","https://onemainfinancial-migrationsandbox.atlassian.net/browse/PLAQ1-38","Cloners","outward","PLAQ-735","https://onemain.atlassian.net/browse/PLAQ-735","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
