"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"CTGR-174","https://onemain.atlassian.net/browse/CTGR-174",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Epic","Create the Payment Schedule Detail Modal","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-267","https://onemain.atlassian.net/browse/CTGR-267","CTGR1-51","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-51","Epic","Bulk Negotiation ","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-226","https://onemain.atlassian.net/browse/CTGR-226","CTGR1-54","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-54","Epic","Create the Home Screen - Part 2","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-486","https://onemain.atlassian.net/browse/CTGR-486","CTGR1-56","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-56","Epic","DSA - CLASS data load to AWS","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-487","https://onemain.atlassian.net/browse/CTGR-487","CTGR1-57","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-57","Epic","Settlement Status ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-507","https://onemain.atlassian.net/browse/CTGR-507","CTGR1-58","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-58","Epic","DSA - Dependent stories (other team)","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-22","https://onemain.atlassian.net/browse/CTGR-22","CTGR1-59","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-59","Epic","Create a new Settlement Summary screen ","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-665","https://onemain.atlassian.net/browse/CTGR-665","CTGR1-60","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-60","Epic","DSA - FE JEST Framework - Test cases","CTGR-122","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-247","https://onemain.atlassian.net/browse/CTGR-247","CTGR1-61","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-61","Epic","Create the DSA Agency List Screen (Admin)","CTGR-122","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-471","https://onemain.atlassian.net/browse/CTGR-471",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Story","DSA - Update customer information in the future","CTGR-442","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-211","https://onemain.atlassian.net/browse/CTGR-211","CTGR1-159","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-159","Story","Build the Mutation to store the URL for documents (or index) to PostgreSQL","CTGR-208","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"CTGR-212","https://onemain.atlassian.net/browse/CTGR-212","CTGR1-160","https://onemainfinancial-migrationsandbox.atlassian.net/browse/CTGR1-160","Story","Add the code to Prisma to store document details in PostgreSQL","CTGR-208","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
