"id","name","self"
"10733","Bills test Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10733"
"10737","Bills Test Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10737"
"10819","Bills Test Release Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10819"
"10302","Bills testing dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10302"
"10439","Blockers","https://onemain.atlassian.net/rest/api/3/dashboard/10439"
"10105","Branch Pages Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10105"
"11028","Branch Tech Refresh","https://onemain.atlassian.net/rest/api/3/dashboard/11028"
"10584","BSA Insurance ","https://onemain.atlassian.net/rest/api/3/dashboard/10584"
"13353","Bug Distribution for Release 4.83 (08/11 to 08/20)","https://onemain.atlassian.net/rest/api/3/dashboard/13353"
"13482","Bug Distribution for Release 4.84 (08/21 to 09/04)","https://onemain.atlassian.net/rest/api/3/dashboard/13482"
"10284","Bugs triage","https://onemain.atlassian.net/rest/api/3/dashboard/10284"
"11345"," C&A - DGW Production Hardening DSU Board","https://onemain.atlassian.net/rest/api/3/dashboard/11345"
"11084","C&A -Pricing","https://onemain.atlassian.net/rest/api/3/dashboard/11084"
"10912","C&A CES Risk Detail","https://onemain.atlassian.net/rest/api/3/dashboard/10912"
"10913","C&A CES Risk Executive Summary","https://onemain.atlassian.net/rest/api/3/dashboard/10913"
"10817","C&A Lane Epic Tracking Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10817"
"11001","C&A Lane Epic Tracking Dashboard - Past Present Future","https://onemain.atlassian.net/rest/api/3/dashboard/11001"
"11087","CAAP SCORE offline","https://onemain.atlassian.net/rest/api/3/dashboard/11087"
"11456","CACS-Component by Assignee and Story Points","https://onemain.atlassian.net/rest/api/3/dashboard/11456"
"11303","CACS-Credit Card (CC) Sprint Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11303"
"11447","CACS-Exposure Ticket Status","https://onemain.atlassian.net/rest/api/3/dashboard/11447"
"11222","CAFES - Performance & Backlog Health ","https://onemain.atlassian.net/rest/api/3/dashboard/11222"
"11357","Campaign's Reporting - Semen Serdiuk","https://onemain.atlassian.net/rest/api/3/dashboard/11357"
"11088"," CAPP - Sprint Board 2","https://onemain.atlassian.net/rest/api/3/dashboard/11088"
"10816","CAPP Epic Tracking Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10816"
"11470","CAPS-Epics Status Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11470"
"11066","Cards","https://onemain.atlassian.net/rest/api/3/dashboard/11066"
"10258","Cards - Infra Release Tracking","https://onemain.atlassian.net/rest/api/3/dashboard/10258"
"10259","Cards - Infra Release Tracking, Big 3","https://onemain.atlassian.net/rest/api/3/dashboard/10259"
"10144","Cards - Upcoming Due Dates","https://onemain.atlassian.net/rest/api/3/dashboard/10144"
"10566","Cards 4.0 Release Readiness","https://onemain.atlassian.net/rest/api/3/dashboard/10566"
"11453","Cards Acquisition Production Support ","https://onemain.atlassian.net/rest/api/3/dashboard/11453"
"10133","Cards Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10133"
"10480","Cards Data Lake","https://onemain.atlassian.net/rest/api/3/dashboard/10480"
"11163","Cards Decisioning Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11163"
"11162","Cards Decisioning Pod Project Status","https://onemain.atlassian.net/rest/api/3/dashboard/11162"
"10158","Cards Diamonds progress","https://onemain.atlassian.net/rest/api/3/dashboard/10158"
"11386","Cards Fraud Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11386"
"10883","Cards Holistic View","https://onemain.atlassian.net/rest/api/3/dashboard/10883"
"10203","Cards Infrastructure, Prod Readiness, Security Baseline Features","https://onemain.atlassian.net/rest/api/3/dashboard/10203"
"10186","Cards Infrastructure, Production Readiness","https://onemain.atlassian.net/rest/api/3/dashboard/10186"
"10196","Cards Infrastructure, Production Readiness, Account Access (Users)","https://onemain.atlassian.net/rest/api/3/dashboard/10196"
"10198","Cards Infrastructure, Production Readiness, AppDev","https://onemain.atlassian.net/rest/api/3/dashboard/10198"
"10195","Cards Infrastructure, Production Readiness, Core Integrations","https://onemain.atlassian.net/rest/api/3/dashboard/10195"
"10193","Cards Infrastructure, Production Readiness, Data (& DataLake)","https://onemain.atlassian.net/rest/api/3/dashboard/10193"
"10194","Cards Infrastructure, Production Readiness, Datacenter","https://onemain.atlassian.net/rest/api/3/dashboard/10194"
"10192","Cards Infrastructure, Production Readiness, Networking","https://onemain.atlassian.net/rest/api/3/dashboard/10192"
"10219","Cards Infrastructure, Production Readiness, Networking (non Imperva)","https://onemain.atlassian.net/rest/api/3/dashboard/10219"
"10197","Cards Infrastructure, Production Readiness, Platform (Constitution & Tooling)","https://onemain.atlassian.net/rest/api/3/dashboard/10197"
"10191","Cards Infrastructure, Production Readiness, Security","https://onemain.atlassian.net/rest/api/3/dashboard/10191"
"12399","Cards QA Team Statistics","https://onemain.atlassian.net/rest/api/3/dashboard/12399"
"13416","Cards QA Team Statistics- August 2025","https://onemain.atlassian.net/rest/api/3/dashboard/13416"
"10169","CARDS Quality","https://onemain.atlassian.net/rest/api/3/dashboard/10169"
"10217","CARDS TechDebt","https://onemain.atlassian.net/rest/api/3/dashboard/10217"
"10139","Cards Two Week Outlook","https://onemain.atlassian.net/rest/api/3/dashboard/10139"
"10226","Cards, Production Readiness","https://onemain.atlassian.net/rest/api/3/dashboard/10226"
"10417","Carolyn's Copy of  Default Dashboard for Developers","https://onemain.atlassian.net/rest/api/3/dashboard/10417"
"12362","Catalyst Steel Thread Ready for Work","https://onemain.atlassian.net/rest/api/3/dashboard/12362"
"12397","Catalyst Test (Mick)","https://onemain.atlassian.net/rest/api/3/dashboard/12397"
"10540","ccdevops Metrics","https://onemain.atlassian.net/rest/api/3/dashboard/10540"
"10178","CDA Project - Status and Reporting Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10178"
"10161","CDA Project Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10161"
"10748","CDA QA Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10748"
"10131","Central Digital Sales","https://onemain.atlassian.net/rest/api/3/dashboard/10131"
"10875","Central Ops Deliverables","https://onemain.atlassian.net/rest/api/3/dashboard/10875"
"11199","CFPB Jan ERC Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11199"
"10312","Charles Anderson","https://onemain.atlassian.net/rest/api/3/dashboard/10312"
"10546","Chat Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10546"
"10541","Chris McCandless Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10541"
"10955","CI - Operational Support","https://onemain.atlassian.net/rest/api/3/dashboard/10955"
"11050","CIAM July 2023 Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11050"
"11233","CIAM-2023 Q4 Objectives","https://onemain.atlassian.net/rest/api/3/dashboard/11233"
"11197","CIAM-Identify and Access Management Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11197"
"11231","CIAM-Project, Project Ultra and BAU Status Dashboard View","https://onemain.atlassian.net/rest/api/3/dashboard/11231"
"11204","CIAM-Sprint Health and Sprint Burndown Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/11204"
"10305","CICD Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10305"
"10448","CICD ESS Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10448"
"10848","CICD Mulesoft Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10848"
"11159","CICD Mulesoft Dashboard 2","https://onemain.atlassian.net/rest/api/3/dashboard/11159"
"10959","CICD Zos Dashboard","https://onemain.atlassian.net/rest/api/3/dashboard/10959"
"10591","CLASS April Release (R55)","https://onemain.atlassian.net/rest/api/3/dashboard/10591"
"10614","CLASS April Release Summary (R55)","https://onemain.atlassian.net/rest/api/3/dashboard/10614"
"10726","CLASS August Release (R59)","https://onemain.atlassian.net/rest/api/3/dashboard/10726"
"10706","CLASS August Release Summary (R59)","https://onemain.atlassian.net/rest/api/3/dashboard/10706"
"10529","CLASS Current Release","https://onemain.atlassian.net/rest/api/3/dashboard/10529"
"10730","CLASS December Release (R63)","https://onemain.atlassian.net/rest/api/3/dashboard/10730"
"10720","CLASS December Release Summary (R63)","https://onemain.atlassian.net/rest/api/3/dashboard/10720"
"10731","CLASS Defects Tracker","https://onemain.atlassian.net/rest/api/3/dashboard/10731"
"10435","CLASS Development Release Readiness","https://onemain.atlassian.net/rest/api/3/dashboard/10435"
"10359","CLASS February Release (R53)","https://onemain.atlassian.net/rest/api/3/dashboard/10359"
"10532","CLASS Future Release","https://onemain.atlassian.net/rest/api/3/dashboard/10532"
"10588","CLASS Incidents & Improvements","https://onemain.atlassian.net/rest/api/3/dashboard/10588"
"10660","CLASS July Release (R58)","https://onemain.atlassian.net/rest/api/3/dashboard/10660"
"10705","CLASS July Release Summary (R58)","https://onemain.atlassian.net/rest/api/3/dashboard/10705"
"10659","CLASS June Release (R57)","https://onemain.atlassian.net/rest/api/3/dashboard/10659"
"10662","CLASS June Release Summary (R57)","https://onemain.atlassian.net/rest/api/3/dashboard/10662"
"10400","CLASS March Release (R54)","https://onemain.atlassian.net/rest/api/3/dashboard/10400"
