"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"MCLD-1190","https://onemain.atlassian.net/browse/MCLD-1190","MCLD1-164","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCLD1-164","Blocks","inward","MCLD-1251","https://onemain.atlassian.net/browse/MCLD-1251","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCLD-617","https://onemain.atlassian.net/browse/MCLD-617","MCLD1-187","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCLD1-187","Cloners","outward","MCLD-774","https://onemain.atlassian.net/browse/MCLD-774","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCLD-653","https://onemain.atlassian.net/browse/MCLD-653","MCLD1-3","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCLD1-3","Relates","inward","MCLD-90","https://onemain.atlassian.net/browse/MCLD-90","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"MCLD-801","https://onemain.atlassian.net/browse/MCLD-801","MCLD1-76","https://onemainfinancial-migrationsandbox.atlassian.net/browse/MCLD1-76","Relates","inward","MCLD-752","https://onemain.atlassian.net/browse/MCLD-752","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
