"Field Name","Field ID","Issue Count"
"Security Code Review","customfield_10197","1931"
"Approvers: Unit","customfield_10198","1700"
"Approvers: Int","customfield_10199","875"
"Approvals","customfield_12135",
"Risk and Impact Analysis (migrated) (migrated)","customfield_11049","122850"
"Deployed to Training","customfield_10180","1016"
"Deployed to Training Status","customfield_10181","1047"
"Planned Deployment","customfield_10182","109"
"Post Implementation Validation","customfield_10183","3306"
"Post Implementation Testers","customfield_10184","2094"
"Rollout Switch","customfield_10185","2918"
"Validation Priority","customfield_10186","0"
"Date added to Deployment","customfield_10187","14157"
"Dependency","customfield_10188","1938"
"Testing Communication","customfield_10189","1830"
"Labels","labels","96151"
"Components","components",
"Approvers: Secure Code","customfield_10290","112"
"Deployment Key","customfield_10291","13564"
"Deployed to Regression Status","customfield_10170","8158"
"Deployment Summary","customfield_10292","13627"
"Received Regression Callback","customfield_10171","1045"
"Begin Date (migrated) (migrated) (migrated)","customfield_11382","46"
"Satisfaction","customfield_10293","0"
"Deployed to UAT","customfield_10172","1047"
"Deployed to UAT Status","customfield_10173","8155"
"Satisfaction date","customfield_10294","0"
"Request language","customfield_10295","0"
"Deployed to PROD","customfield_10174","1048"
"Deployed to PROD Status","customfield_10175","1051"
"Affected services","customfield_10296","0"
"Withdraw Alert!!","customfield_10297",
"Received Production Callback","customfield_10176","1045"
"Epic Approval","customfield_10298","2668"
"Deployed to Post Release","customfield_10177","871"
"Health Status (migrated 2)","customfield_11267","122850"
"Deployed to Post Release Status","customfield_10178","8209"
"Production Deployment Approvals","customfield_10299","218"
"Received Post Release/Training Callback","customfield_10179","734"
"Risk Approver Required (migrated) (migrated)","customfield_11139","122850"
"Testers: QA","customfield_10160","3327"
"Testers: UAT","customfield_10161","3369"
"External issue ID","customfield_10283","0"
"Artifact","customfield_10162","383"
"Phase Activity","customfield_10284","598"
"Platform","customfield_10163","358"
"Deployed to DEV","customfield_10164","1044"
"Reporter","reporter","207010"
"Deployed to DEV Status","customfield_10165","1057"
"Process Date","customfield_10287","0"
"Implementation Plan (migrated) (migrated)","customfield_11013","122850"
"Deployed to INT","customfield_10167","1047"
"Focus Areas","customfield_12102",
"Score","customfield_10288","222"
"Additional Pricing Required (migrated 2)","customfield_11015","122850"
"Business Case","customfield_10289","66"
"Deployed to INT Status","customfield_10168","8173"
"Deployed to Regression","customfield_10169","1047"
"Testers: Int","customfield_10159","1208"
"Progress","progress",
"Project Analyst","customfield_10270","1"
"Package No","customfield_10150","3932"
"Consists of Core Integrations","customfield_10392","365"
"Project Manager","customfield_10271","18"
"Time Frame","customfield_10272","217"
"Run vs Build","customfield_10393","3197"
"Emergency Request","customfield_10151","189452"
"Acceptance Criteria","customfield_10030","21946"
"Project","project","207316"
"CICD Version","customfield_10152","20"
"Test Plan","customfield_10394","4322"
"Target start","customfield_10031","3"
"Initiative Approval Date","customfield_10273","13"
"Initiative Approver","customfield_10274","13"
"Target end","customfield_10032","42"
"Bitbucket Repo Slug","customfield_10153","2"
"Test Results","customfield_10395","3162"
"Global Rank","customfield_10154","0"
"Expected Behavior","customfield_10396","1276"
"Planned Start Date","customfield_10155","2656"
"Planned End Date","customfield_10156","4063"
"Request Approver","customfield_10278","1630"
"Reviewers: Code Review","customfield_10157","2193"
"Testers: Unit","customfield_10158","2836"
"How and Who","customfield_10148","1791"
"Steps to Reproduce","customfield_10027","1130"
"IT Sponsor","customfield_10269","2094"
"Actual Result","customfield_10028","125"
"Expected Result","customfield_10029","128"
"Resolved","resolutiondate","169278"
"Watchers","watches",
"Testing Oversight","customfield_10380","0"
"Secure Code Review Date","customfield_10260","9"
"Outage and Backout Duration","customfield_10381","1"
"Product Lead","customfield_10261","962"
"Impact in Case of Change Failure","customfield_10382","1"
"External issue ID","customfield_10141","0"
"Risk","customfield_10383","0"
"Sprint","customfield_10020","97953"
"Deployment Link","customfield_10384","9207"
"Project Type","customfield_10142","73"
"Flagged","customfield_10021","237"
"Category (migrated) (migrated) (migrated)","customfield_11594","122850"
"Project","customfield_10143","0"
"T-Shirt Size","customfield_10264","5"
"[CHART] Date of First Response","customfield_10022","69788"
"Integrated Deployment Link","customfield_10385","80"
"[CHART] Time in Status","customfield_10023","169379"
"Defect Link2","customfield_10386","445"
"Workfront Automation Required","customfield_10265","417"
"Project Lead","customfield_10144","2"
"Deployment Notes","customfield_10387","331"
"Work Type","customfield_10145","874"
"Workfront Reference Number","customfield_10266","20"
"Business Sponsor","customfield_10267","2100"
"Executive Sponsor","customfield_10268","426"
"Story Points","customfield_10026","178839"
"Program","customfield_10137","2106"
"Reviewers: Secure Code","customfield_10258","25"
"Validation Plan","customfield_10379","3"
"Story point estimate","customfield_10016","355"
"Business Context","customfield_10138","376"
"Issue color","customfield_10017","14282"
"Freeze Approval Received","customfield_10259","23"
"Jira Issue Key","customfield_10139","2216"
"Parent Link","customfield_10018","165817"
"Rank","customfield_10019",
"Updated","updated","207316"
"Original estimate","timeoriginalestimate","23437"
"Potential Workaround","customfield_10370","1"
"Contact Information","customfield_10250","0"
"Override","customfield_10251","0"
"Description","description","115694"
"Requested For","customfield_10130","0"
"Regulatory/Compliance/Legal (migrated) (migrated)","customfield_11460","122850"
"Request Type","customfield_10010","0"
"Github Username","customfield_10131","0"
"Epic Name","customfield_10011","8565"
"Checklist Completed","customfield_10375","221"
"Override Environment","customfield_10254","1"
"Epic Status","customfield_10012","11027"
"Github Organizations","customfield_10134","0"
"Epic Color","customfield_10013","11689"
"CMS Approver","customfield_10255","301"
"Checklist Text","customfield_10377","192"
"Epic Link","customfield_10014","96852"
"Github Team","customfield_10135","0"
"CMS Approval Date","customfield_10256","301"
"Date moved from Deployment","customfield_10378","2154"
"Approving Manager","customfield_10136","0"
"PMD Categorization","customfield_10257","2"
"Start date","customfield_10015","12372"
"Deployed to DevInt Status","customfield_10368","7894"
"Run Instructions","customfield_10247","2072"
"Value Score","customfield_10126","140"
"Change type","customfield_10005","910"
"Impact to Blocked Issues","customfield_10369","1"
"External issue ID","customfield_10127","0"
"ENV","customfield_10128","0"
"Critical","customfield_10249","0"
"LAN_ID","customfield_10129","0"
"Summary","summary","207316"
"Request participants","customfield_10240","0"
"Legal/Compliance Engaged?","customfield_10362","107"
"External issue ID","customfield_10120","0"
"Development","customfield_10000",
"One Support Engaged?","customfield_10363","104"
"Health Check","customfield_10121","112"
"Deployment Approval","customfield_10242","335"
"Business Partner","customfield_10122","314"
"Cross Department Impact?","customfield_10364","108"
"QA Deployment Date","customfield_10243","287"
"Team","customfield_10001","2487"
"Assumptions","customfield_10244","2339"
"Organizations","customfield_10002",
"Trail Blazers Needed?","customfield_10365","102"
"End User Coordination Effort (migrated) (migrated) (migrated)","customfield_11698","122850"
"Category","customfield_10366","0"
"External issue ID","customfield_10245","64"
"Issue Attribute(s)","customfield_10124","0"
"Approvers","customfield_10003",
"Probability","customfield_10125","6"
"Request Type","customfield_10246","0"
"Deployed to DevInt","customfield_10367","1039"
"Impact","customfield_10004","0"
"Risk and Impact Analysis","customfield_10357","0"
"Verification Priority","customfield_10236","80"
"Integrated Test Data and date/method requested","customfield_10115","0"
"End User Coordination Effort","customfield_10358","0"
"Integrated Test Data Available","customfield_10116","0"
"Planned Live Date","customfield_10237","455"
"OKR","customfield_10359","34"
"Planned Start Date (migrated 2)","customfield_11207","46"
"Comment","comment",
"Status Category Changed","statuscategorychangedate",
"Fix versions","fixVersions",
"Priority","priority","201357"
"Affects versions","versions",
"Key","issuekey",
"?? Progress","aggregateprogress",
"End User Coordination Effort (migrated) (migrated)","customfield_11083","122850"
"Restrict to","issuerestriction",
"Images","thumbnail",
"Created","created","207316"
"Security Level","security",
"Attachment","attachment",
"Configuration Item ID (migrated)","customfield_11050","122850"
"Risk Approver Required (New)","customfield_11053","122850"
"Begin Date (migrated 2) (migrated)","customfield_11178","46"
