"Key","Name","Groups","DefaultGroups","SelectedByDefault","Defined","NumberOfSeats","RemainingSeats","UserCount","UserCountDescription","HasUnlimitedSeats","Platform","GeneratedAt"
"jira-product-discovery","Jira Product Discovery","jira-product-discovery-users-onemain","jira-product-discovery-users-onemain","False","True","35000","34994","6","jira.product-discovery.user.count","False","False","2025-10-07 19:32:38"
"jira-software","Jira Software","jira-software-users; atlassian-addons-admin; system-administrators; RG_JIRA_CLOUD_USERS; site-admins; administrators","jira-software-users","False","True","1600","63","1537","users","False","False","2025-10-07 19:32:38"
