"key","groups","groupDetails","name","defaultGroups","defaultGroupsDetails","selectedByDefault","defined","numberOfSeats","remainingSeats","userCount","userCountDescription","hasUnlimitedSeats","platform"
"jira-product-discovery","System.Object[]","System.Object[]","Jira Product Discovery","System.Object[]","System.Object[]","False","True","35000","34996","4","jira.product-discovery.user.count","False","False"
"jira-software","System.Object[]","System.Object[]","Jira Software","System.Object[]","System.Object[]","False","True","1600","61","1539","users","False","False"
