"IssueType.self","IssueType.id","IssueType.name","IssueType.subtask","Status.self","Status.description","Status.iconUrl","Status.name","Status.id","StatusCategory.self","StatusCategory.id","StatusCategory.key","StatusCategory.colorName","StatusCategory.name","GeneratedAt"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10007","10007","Task","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.241Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10007","10007","Task","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.241Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10007","10007","Task","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10235","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Ready for Work","10235","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.242Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10007","10007","Task","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10010","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Testing","10010","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.242Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10007","10007","Task","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.242Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10007","10007","Task","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10025","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Blocked","10025","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.243Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10008","10008","Sub-task","true","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.243Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10008","10008","Sub-task","true","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.244Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10008","10008","Sub-task","true","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.244Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10009","10009","Bug","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.244Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10009","10009","Bug","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.245Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10009","10009","Bug","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10235","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Ready for Work","10235","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.245Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10009","10009","Bug","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10010","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Testing","10010","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.246Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10009","10009","Bug","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.247Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10009","10009","Bug","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10025","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Blocked","10025","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.247Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10010","10010","Spike","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.248Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10010","10010","Spike","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","","https://onemain-omfdirty.atlassian.net/","Backlog","10031","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.249Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10010","10010","Spike","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","","https://onemain-omfdirty.atlassian.net/","Done","10004","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.249Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10188","10188","Objective","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.254Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10188","10188","Objective","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10011","","https://onemain-omfdirty.atlassian.net/","To Do","10011","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.254Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10188","10188","Objective","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10039","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Canceled","10039","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.256Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10188","10188","Objective","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10296","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Achieved","10296","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.257Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10188","10188","Objective","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10297","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Not Met","10297","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.259Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10189","10189","Key Result","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","In Progress","3","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4","4","indeterminate","yellow","In Progress","2025-09-17T23:16:32.262Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10189","10189","Key Result","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10011","","https://onemain-omfdirty.atlassian.net/","To Do","10011","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2","2","new","blue-gray","To Do","2025-09-17T23:16:32.264Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10189","10189","Key Result","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10039","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Canceled","10039","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.264Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10189","10189","Key Result","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10296","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Achieved","10296","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.265Z"
"https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10189","10189","Key Result","false","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10297","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","Not Met","10297","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3","3","done","green","Done","2025-09-17T23:16:32.266Z"
