"ProjectKey","ProjectId","ProjectName","ProjectTypeKey","ProjectSimplified","IssueTypeId","IssueTypeName","IssueTypeSubtask","IssueTypeSelf","StatusId","StatusName","StatusDescription","StatusIconUrl","StatusSelf","StatusCategoryId","StatusCategoryKey","StatusCategoryName","StatusCategoryColorName","StatusCategorySelf"
"ACM","10409","Adobe Campaign Migration","software","","10116","Initiative","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10116","3","In Progress","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","4","indeterminate","In Progress","yellow","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4"
"ACM","10409","Adobe Campaign Migration","software","","10116","Initiative","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10116","10031","Backlog","","https://onemain-omfdirty.atlassian.net/","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","2","new","To Do","blue-gray","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2"
"ACM","10409","Adobe Campaign Migration","software","","10116","Initiative","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10116","10004","Done","","https://onemain-omfdirty.atlassian.net/","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","3","done","Done","green","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3"
"ACM","10409","Adobe Campaign Migration","software","","10122","Theme","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10122","3","In Progress","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","4","indeterminate","In Progress","yellow","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4"
"ACM","10409","Adobe Campaign Migration","software","","10122","Theme","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10122","10031","Backlog","","https://onemain-omfdirty.atlassian.net/","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","2","new","To Do","blue-gray","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2"
"ACM","10409","Adobe Campaign Migration","software","","10122","Theme","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10122","10004","Done","","https://onemain-omfdirty.atlassian.net/","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","3","done","Done","green","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3"
"ACM","10409","Adobe Campaign Migration","software","","10000","Epic","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10000","3","In Progress","This work item is being actively worked on at the moment by the assignee.","https://onemain-omfdirty.atlassian.net/images/icons/statuses/inprogress.png","https://onemain-omfdirty.atlassian.net/rest/api/3/status/3","4","indeterminate","In Progress","yellow","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/4"
"ACM","10409","Adobe Campaign Migration","software","","10000","Epic","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10000","10031","Backlog","","https://onemain-omfdirty.atlassian.net/","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10031","2","new","To Do","blue-gray","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2"
"ACM","10409","Adobe Campaign Migration","software","","10000","Epic","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10000","10004","Done","","https://onemain-omfdirty.atlassian.net/","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10004","3","done","Done","green","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/3"
"ACM","10409","Adobe Campaign Migration","software","","10006","Story","","https://onemain-omfdirty.atlassian.net/rest/api/3/issuetype/10006","10234","Refinement","","https://onemain-omfdirty.atlassian.net/images/icons/statuses/generic.png","https://onemain-omfdirty.atlassian.net/rest/api/3/status/10234","2","new","To Do","blue-gray","https://onemain-omfdirty.atlassian.net/rest/api/3/statuscategory/2"
