"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ACM-691","https://onemain.atlassian.net/browse/ACM-691","ACM1-188","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-188","Task","COL- Seed list incorporation in V8","ACM-213","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-682","https://onemain.atlassian.net/browse/ACM-682","ACM1-189","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-189","Task","Payment Reminder V8 Deployment","ACM-241","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-676","https://onemain.atlassian.net/browse/ACM-676","ACM1-191","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-191","Task","UAT - Follow Up Clicker","ACM-672","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-675","https://onemain.atlassian.net/browse/ACM-675","ACM1-193","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-193","Task","QA - Follow up Clicker","ACM-672","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-215","https://onemain.atlassian.net/browse/ACM-215","ACM1-204","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-204","Task","COL - Create Data Schema in V8","ACM-213","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2653","https://onemain.atlassian.net/browse/ACM-2653","ACM1-251","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-251","Task","Is_Mod_Application in Delivery Logs V8","ACM-244","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2770","https://onemain.atlassian.net/browse/ACM-2770","ACM1-273","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-273","Task","Income Capture - Prod issue","ACM-321","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2765","https://onemain.atlassian.net/browse/ACM-2765","ACM1-310","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-310","Task","Context issue in Real Time campaigns","ACM-244","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2761","https://onemain.atlassian.net/browse/ACM-2761","ACM1-311","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-311","Task","TTRY - MKT - DC - Done in ACM - 1500","ACM-2760","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2490","https://onemain.atlassian.net/browse/ACM-2490","ACM1-341","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-341","Task","TTRY - MKT- QA","ACM-2760","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2488","https://onemain.atlassian.net/browse/ACM-2488","ACM1-343","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-343","Task","TTRY  -MKT - Create Event and TM","ACM-2760","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2420","https://onemain.atlassian.net/browse/ACM-2420","ACM1-358","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-358","Task","RT - Tracking Logs","ACM-244","Testing","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2405","https://onemain.atlassian.net/browse/ACM-2405","ACM1-363","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-363","Task","Disable Income Capture in ACS","ACM-321","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2404","https://onemain.atlassian.net/browse/ACM-2404","ACM1-364","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-364","Task","Launch Income Capture in V8","ACM-321","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-2039","https://onemain.atlassian.net/browse/ACM-2039","ACM1-390","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-390","Task","COL - Recoveries - Prod Launch","ACM-378","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-673","https://onemain.atlassian.net/browse/ACM-673","ACM1-401","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-401","Story","Follow Up Clicker - Launcher","ACM-672","Ready for Work","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-674","https://onemain.atlassian.net/browse/ACM-674","ACM1-403","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ACM1-403","Story","Follow Up Clicker - Templates","ACM-672","In Progress","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ACM-1262","https://onemain.atlassian.net/browse/ACM-1262",,"https://onemainfinancial-migrationsandbox.atlassian.net/browse/","Bug","Income Capture - Mobile Padding","ACM-321","Backlog","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
