"Id","IsSystemAvatar","IsSelected","IsDeletable","FileName","Owner","OwnerAccountId","Created","Updated","Urls","AvatarType","GeneratedAt"
"10415","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10415\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10415\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10415\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10415\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10416","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10416\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10416\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10416\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10416\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10417","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10417\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10417\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10417\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10417\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10418","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10418\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10418\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10418\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10418\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10419","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10419\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10419\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10419\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10419\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10420","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10420\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10420\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10420\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10420\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10421","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10421\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10421\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10421\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10421\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10422","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10422\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10422\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10422\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10422\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10423","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10423\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10423\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10423\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10423\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10424","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10424\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10424\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10424\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10424\u0026avatarType=project""}","project","2025-09-23 22:21:52"
"10425","True","False","False",,"","",,,"{""16x16"":""/secure/viewavatar?size=xsmall\u0026avatarId=10425\u0026avatarType=project"",""24x24"":""/secure/viewavatar?size=small\u0026avatarId=10425\u0026avatarType=project"",""32x32"":""/secure/viewavatar?size=medium\u0026avatarId=10425\u0026avatarType=project"",""48x48"":""/secure/viewavatar?avatarId=10425\u0026avatarType=project""}","project","2025-09-23 22:21:52"
