"Id","Key","Name","Description","Type","DefaultValue","Value","AllowedValues","GeneratedAt"
"jira.newsletter.tip.delay.days","jira.newsletter.tip.delay.days","Delay in days before newsletter signup tip is shown","The number of days before a prompt to sign up to the Jira Insiders newsletter is shown. A value of -1 disables this functionality.","int","7","-1","","2025-09-23 16:02:24"
"jira.option.globalsharing","jira.option.globalsharing","jira.option.globalsharing","","boolean","","false","","2025-09-23 16:02:24"
"instance.try.intent","instance.try.intent","instance.try.intent","","string","","none","","2025-09-23 16:02:24"
"xflow.product.suggestions.enabled","xflow.product.suggestions.enabled","Indicate whether or not to expose product suggestions for other Atlassian Products within JIRA","","boolean","true","false","","2025-09-23 16:02:24"
"jira.service-management.legacy-automation.state","jira.service-management.legacy-automation.state","jira.service-management.legacy-automation.state","","string","","","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.message","jira.admin.announcement.banner.message","jira.admin.announcement.banner.message","","string","","","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.is-dismissable","jira.admin.announcement.banner.is-dismissable","jira.admin.announcement.banner.is-dismissable","","boolean","false","true","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.is-enabled","jira.admin.announcement.banner.is-enabled","jira.admin.announcement.banner.is-enabled","","boolean","","false","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.visibility","jira.admin.announcement.banner.visibility","jira.admin.announcement.banner.visibility","","enum","private","public","; ","2025-09-23 16:02:24"
"jira.admin.announcement.banner.hash-id","jira.admin.announcement.banner.hash-id","jira.admin.announcement.banner.hash-id","","string","E5CE0B1F7TDAZH1IBTNH6PQ2TP9FLLO6","LS6A2HBIRS77YP8MQXA21PDWDVJWFM28","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.v2.content","jira.admin.announcement.banner.v2.content","jira.admin.announcement.banner.v2.content","","string","","{""version"":1,""type"":""doc"",""content"":[]}","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.v2.bg-color","jira.admin.announcement.banner.v2.bg-color","jira.admin.announcement.banner.v2.bg-color","","string","GREY","green","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.v2.is-dismissable","jira.admin.announcement.banner.v2.is-dismissable","jira.admin.announcement.banner.v2.is-dismissable","","boolean","","false","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.v2.is-enabled","jira.admin.announcement.banner.v2.is-enabled","jira.admin.announcement.banner.v2.is-enabled","","boolean","","false","","2025-09-23 16:02:24"
"jira.admin.announcement.banner.v2.visibility","jira.admin.announcement.banner.v2.visibility","jira.admin.announcement.banner.v2.visibility","","enum","","private","; ","2025-09-23 16:02:24"
"jira.admin.announcement.banner.v2.hash-id","jira.admin.announcement.banner.v2.hash-id","jira.admin.announcement.banner.v2.hash-id","","string","","E5CE0B1F7TDAZH1IBTNH6PQ2TP9FLLO6","","2025-09-23 16:02:24"
"jira.admin.compass.is-enabled-for-new-project","jira.admin.compass.is-enabled-for-new-project","jira.admin.compass.is-enabled-for-new-project","","boolean","","true","","2025-09-23 16:02:24"
"jira.admin.confluence.enable-sprint-retros","jira.admin.confluence.enable-sprint-retros","jira.admin.confluence.enable-sprint-retros","","boolean","","true","","2025-09-23 16:02:24"
"jira.admin.confluence.enable-content-creation-issue-top-actions","jira.admin.confluence.enable-content-creation-issue-top-actions","jira.admin.confluence.enable-content-creation-issue-top-actions","","boolean","","true","","2025-09-23 16:02:24"
"jira.admin.confluence.enable-content-creation-issue-confluence-content","jira.admin.confluence.enable-content-creation-issue-confluence-content","jira.admin.confluence.enable-content-creation-issue-confluence-content","","boolean","","true","","2025-09-23 16:02:24"
"jira.admin.confluence.enable-integrations","jira.admin.confluence.enable-integrations","jira.admin.confluence.enable-integrations","","boolean","","true","","2025-09-23 16:02:24"
"jira.explicit.field.association.feature.enabled","jira.explicit.field.association.feature.enabled","jira.explicit.field.association.feature.enabled","When false, disables explicit field association for all TMP projects.","boolean","","true","","2025-09-23 16:02:24"
