"ProjectKey","ConnectedProject","LinkCount"
"SRE","UPT","2"
"POP","TCA","1"
"PIE","SRE","3"
"PDS","SRE","2"
"OSO","POP","87"
"OSO","PIE","1"
"ONE","UPT","3"
"OAE","PAY","23"
"OAE","UX","3"
"OAE","TRIM","1"
"OAE","ONE","1"
"NOW","POP","1"
"MOB","OAE","13"
"MOB","UX","2"
"MCLD","MCLNE","1"
"MCCP","MCLNE","9"
"MCCP","MCLD","7"
"MCCE","MCLNE","11"
"MCCE","OAE","3"
"MCCE","MCCP","2"
"MCCE","MOB","2"
"MCCE","QUAL","1"
"MCARD","MCCE","3"
"MCARD","MCLNE","1"
"LAW","QUAL","1"
"LAS","PSM","15"
"LAS","POS","4"
"LAS","QUAL","3"
"LAS","PDS","1"
"LAS","LAW","1"
"INSO","MCCE","2"
"INSO","LAS","2"
"IMG","QUAL","1"
"IMG","PDS","1"
"IMG","OAE","1"
"ICS","PSM","2"
"IAM","OSO","2"
"IAM","SRE","1"
"GENAI","MES","3"
"GENAI","IAM","2"
"FORMS","INSO","23"
"FORMS","SEN","2"
"FORMS","LAW","1"
"FORMS","PAY","1"
"FLDR","HRES","2"
"ETAC","IAM","1"
"EPMC","MES","2"
"ENGOPS","FORMS","8"
"ENGOPS","PAY","7"
"ENGOPS","LAW","4"
"ENGOPS","LAS","2"
"EMC","SRE","24"
"EMC","POP","3"
"EMC","MCCE","1"
"EMC","PDS","1"
"EDME","EPMC","385"
"EDME","IAM","1"
"EDME","PAY","1"
"EA","GENAI","4"
"EA","TCA","1"
"DS","UPT","19"
"DS","ONE","4"
"DR","PSM","2"
"DPSS","IMG","8"
"DPSS","SIGN","5"
"DPSS","FORMS","4"
"DPSS","ENGOPS","1"
"DOC","SIGN","4"
"DEP","GENAI","1"
"DE","ERD","10"
"DE","DEP","2"
"DCI","IAM","12"
"DCI","DEP","2"
"DCI","SRE","2"
"DCI","PDS","2"
"DCI","EPMC","1"
"DCI","EMC","1"
"DCI","DP","1"
"DCI","MES","1"
"DBEAN","OAE","40"
"DBEAN","PAY","11"
"DBEAN","ONE","3"
"DBEAN","MOB","2"
"DBEAN","EMC","1"
"DBA","POP","2"
"DBA","HRES","1"
"DBA","EMC","1"
"DBA","SIGN","1"
"DBA","OAE","1"
"DBA","OSO","1"
"DBA","EPMC","1"
"DBA","IMG","1"
"DAWA","FLDR","4"
"DAWA","QUAL","4"
"DAWA","INSO","2"
"DAWA","MCCP","1"
"CTGR","ENGOPS","4"
"CTGR","IMG","1"
"CTGR","DBEAN","1"
"CTEM","IAM","1"
"CRSK","LAS","4"
"CRSK","INSO","2"
"CRSK","LAW","2"
"CRSK","DAWA","2"
"CRSK","PSM","1"
"CRSK","ERD","1"
"CRSK","QUAL","1"
"COR","ERD","4"
"COR","PAY","3"
"COR","DE","2"
"COR","MCLNE","2"
"COPS","IAM","1"
"COMP","FORMS","6"
"COMP","COR","2"
"COMP","ETAC","1"
"COMMS","MCCE","2"
"COMMS","DBEAN","1"
"COMMS","UPT","1"
"COL","CTGR","4"
"COL","LAS","4"
"COL","COR","2"
"COL","MOB","2"
"COL","QUAL","2"
"COL","MCCE","2"
"COL","COMP","2"
"COL","SEN","2"
"COL","OAE","2"
"COL","MCCP","2"
"COL","PSM","1"
"COL","SVCCOL","1"
"CNSS","DCOM","4"
"CNSS","DEP","2"
"CNS","CNSS","3"
"CNS","PIE","2"
"CNS","EPMC","2"
"CNS","ETAC","1"
"CNE","PIE","11"
"CNE","EPMC","2"
"CNE","COL","1"
"CNE","PDS","1"
"CNE","EMC","1"
"CNE","CNSS","1"
"CMP","POP","17"
"CISRE","UPT","2"
"CISRE","COMMS","2"
"CISRE","SRE","2"
"CISRE","MCLD","2"
"CISRE","PIE","1"
