"FieldId","ScreenId","ScreenName","ScreenDescription","GeneratedAt"
"customfield_10489","10469","WL: Task Management Edit/View Issue Screen","(Migrated on 29 Nov 2022 21:16 UTC) (Migrated on 1 Mar 2023 00:26 UTC)","2025-09-20 10:19:27"
"customfield_10489","10476","SEC: Task Management Edit/View Issue Screen","(Migrated on 29 Nov 2022 21:37 UTC) (Migrated on 1 Mar 2023 04:07 UTC)","2025-09-20 10:19:27"
