"Source Issue","Source URL","Target Issue","Target URL","Link Type","Direction","Linked To (Not Migrated)","Linked To URL","Reason","Action Required"
"ESDL-242","https://onemain.atlassian.net/browse/ESDL-242","ESDL1-37","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-37","Relates","inward","ESDL-240","https://onemain.atlassian.net/browse/ESDL-240","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-242","https://onemain.atlassian.net/browse/ESDL-242","ESDL1-37","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-37","Relates","inward","ESDL-241","https://onemain.atlassian.net/browse/ESDL-241","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-243","https://onemain.atlassian.net/browse/ESDL-243","ESDL1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-25","Relates","inward","ESDL-240","https://onemain.atlassian.net/browse/ESDL-240","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-243","https://onemain.atlassian.net/browse/ESDL-243","ESDL1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-25","Relates","inward","ESDL-241","https://onemain.atlassian.net/browse/ESDL-241","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-243","https://onemain.atlassian.net/browse/ESDL-243","ESDL1-25","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-25","Relates","inward","ESDL-242","https://onemain.atlassian.net/browse/ESDL-242","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-353","https://onemain.atlassian.net/browse/ESDL-353","ESDL1-75","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-75","Cloners","outward","ESDL-294","https://onemain.atlassian.net/browse/ESDL-294","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-368","https://onemain.atlassian.net/browse/ESDL-368","ESDL1-66","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-66","Cloners","outward","ESDL-364","https://onemain.atlassian.net/browse/ESDL-364","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-422","https://onemain.atlassian.net/browse/ESDL-422","ESDL1-138","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-138","Relates","inward","ESDL-438","https://onemain.atlassian.net/browse/ESDL-438","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-70","https://onemain.atlassian.net/browse/ESDL-70","ESDL1-143","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-143","Blocks","inward","ESDL-294","https://onemain.atlassian.net/browse/ESDL-294","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-70","https://onemain.atlassian.net/browse/ESDL-70","ESDL1-143","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-143","Blocks","inward","ESDL-353","https://onemain.atlassian.net/browse/ESDL-353","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-109","https://onemain.atlassian.net/browse/ESDL-109","ESDL1-155","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-155","Cloners","inward","ESDL-304","https://onemain.atlassian.net/browse/ESDL-304","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-115","https://onemain.atlassian.net/browse/ESDL-115","ESDL1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-131","Blocks","inward","ESDL-83","https://onemain.atlassian.net/browse/ESDL-83","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-122","https://onemain.atlassian.net/browse/ESDL-122","ESDL1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-130","Relates","outward","ESDL-82","https://onemain.atlassian.net/browse/ESDL-82","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-124","https://onemain.atlassian.net/browse/ESDL-124","ESDL1-119","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-119","Relates","inward","ESDL-122","https://onemain.atlassian.net/browse/ESDL-122","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-149","https://onemain.atlassian.net/browse/ESDL-149","ESDL1-91","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-91","Blocks","inward","ESDL-357","https://onemain.atlassian.net/browse/ESDL-357","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-174","https://onemain.atlassian.net/browse/ESDL-174","ESDL1-117","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-117","Blocks","inward","ESDL-213","https://onemain.atlassian.net/browse/ESDL-213","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
"ESDL-175","https://onemain.atlassian.net/browse/ESDL-175","ESDL1-116","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-116","Blocks","inward","ESDL-200","https://onemain.atlassian.net/browse/ESDL-200","Already exists (idempotency)","Manually create link when linked issue is migrated, or link to source instance"
