"Source Issue","Source URL","Target Issue","Target URL","Issue Type","Summary","Missing Parent","Status","Reason","Action Required"
"ESDL-159","https://onemain.atlassian.net/browse/ESDL-159","ESDL1-127","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-127","Story","[DevOps][DB2 | z-series] Convert raw CSV files into parquet in prepared area - Glue - ENABLEMENT","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-158","https://onemain.atlassian.net/browse/ESDL-158","ESDL1-128","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-128","Story","[DevOps][POC] Job orchestration and scheduling - EventBridge - ENABLEMENT","ESDL-180","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-167","https://onemain.atlassian.net/browse/ESDL-167","ESDL1-129","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-129","Task","Tags refinement","ESDL-162","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-122","https://onemain.atlassian.net/browse/ESDL-122","ESDL1-130","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-130","Story","Lambda function to register data into Glue catalog","ESDL-99","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-115","https://onemain.atlassian.net/browse/ESDL-115","ESDL1-131","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-131","Story","Workflow - step functions and pipeline state in DynamoDB","ESDL-94","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-65","https://onemain.atlassian.net/browse/ESDL-65","ESDL1-132","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-132","Story","Refactor IaaC and delivery chain for Glue code","ESDL-60","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-415","https://onemain.atlassian.net/browse/ESDL-415","ESDL1-133","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-133","Story","Data Ingestion - Class - cqs replace","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-418","https://onemain.atlassian.net/browse/ESDL-418","ESDL1-134","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-134","Story","ESDL - Prod fix - Delete Pods - Generic Jobs and MVP1 Step functions","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-419","https://onemain.atlassian.net/browse/ESDL-419","ESDL1-135","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-135","Story","ESDL - Data Ingestion - 1/25 - DevOps","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-420","https://onemain.atlassian.net/browse/ESDL-420","ESDL1-136","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-136","Story","Data Ingestion - Generic Chicago - 2/2","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-421","https://onemain.atlassian.net/browse/ESDL-421","ESDL1-137","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-137","Story","Data Ingestion - Generic Digitial - Replace - 2/2","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-422","https://onemain.atlassian.net/browse/ESDL-422","ESDL1-138","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-138","Story","Data Ingestion - Class - cqs_replace - 2/9","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-423","https://onemain.atlassian.net/browse/ESDL-423","ESDL1-139","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-139","Story","ESDL - Data Ingestion - DevOps - 2/2","ESDL-435","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-7","https://onemain.atlassian.net/browse/ESDL-7","ESDL1-140","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-140","Story","Identification of most used entities","ESDL-5","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-39","https://onemain.atlassian.net/browse/ESDL-39","ESDL1-141","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-141","Story","Document Target state infrastructure diagram","ESDL-36","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-46","https://onemain.atlassian.net/browse/ESDL-46","ESDL1-142","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-142","Task","Sprint 1 backlog","ESDL-43","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-70","https://onemain.atlassian.net/browse/ESDL-70","ESDL1-143","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-143","Story","IaaC for Snowflake integration for dl dev env","ESDL-60","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
"ESDL-68","https://onemain.atlassian.net/browse/ESDL-68","ESDL1-147","https://onemainfinancial-migrationsandbox.atlassian.net/browse/ESDL1-147","Story","Support for Dev Team","ESDL-60","Done","Parent was resolved/excluded from migration (not in export)","Manually link to appropriate parent or mark as orphaned"
