"SourceKey","TargetKey","LinkType","Direction","LinkedSourceKey","Error","ErrorDetails","SourceURL","TargetURL"
"DCI-2055","DCI1-106","Feature","inward","DCI-2122","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-2055","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-106"
"DCI-2122","DCI1-136","Feature","outward","DCI-2055","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-2122","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-136"
"DCI-949","DCI1-25","Sub Task","outward","DCI-1619","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-949","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-25"
"DCI-1205","DCI1-29","Deployment","outward","DCI-1206","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-1205","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-29"
"DCI-1206","DCI1-34","Deployment","inward","DCI-1205","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-1206","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-34"
"DCI-1583","DCI1-69","Dependency","outward","DCI-1706","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-1583","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-69"
"DCI-1619","DCI1-95","Sub Task","inward","DCI-949","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-1619","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-95"
"DCI-1706","DCI1-93","Dependency","inward","DCI-1583","Response status code does not indicate success: 404 (Not Found).","Not Found - Resource doesn't exist","https://onemain.atlassian.net/browse/DCI-1706","https://onemainfinancial-migrationsandbox.atlassian.net/browse/DCI1-93"
