Environment,Name,SourceID (OneMain),TargetID (OneMainFinancial),MatchStatus
Source,Project start,customfield_11795,,No Match
Source,IT Manager,customfield_10221,,No Match
Source,System Manager,customfield_10222,,No Match
Source,SARB Approved,customfield_11794,,No Match
Source,Scrum Team,customfield_10101,,No Match
Source,Engineering Lead,customfield_10343,,No Match
Source,External Issue ID,customfield_10102,customfield_10250,Different ID
Source,Late Add Date Difference,customfield_10344,,No Match
Source,Program Priority,customfield_10223,,No Match
Source,Category,customfield_11797,customfield_10190,Different ID
Source,Project target,customfield_11796,,No Match
Source,PMD Categorization,customfield_10224,,No Match
Source,External Issue URL,customfield_10103,,No Match
Source,End Date (migrated),customfield_10466,,No Match
Source,Open forms,customfield_10345,customfield_10030,Different ID
Source,Benefits,customfield_10215,,No Match
Source,Service (migrated),customfield_10579,,No Match
Source,Collateral Approver,customfield_10458,,No Match
Source,Requesting Department,customfield_10216,,No Match
Source,Security Code Review (migrated) (migrated) (migrated),customfield_11548,,No Match
Source,Risk Approver Required (migrated 2) (migrated),customfield_11668,,No Match
Source,Size,customfield_10217,customfield_10102,Different ID
Source,Remaining Estimate,timeestimate,timeestimate,Jira Native
Source,SDD Required,customfield_10218,,No Match
Source,Lane - Capabilities,customfield_10219,,No Match
Source,Status,status,status,Jira Native
Source,Resource Platform,customfield_10330,,No Match
Source,Deployment Approver,customfield_10210,,No Match
Source,Severity,customfield_10694,customfield_10099,Different ID
Source,Deployment Approval Date,customfield_10211,,No Match
Source,Environment Deployed,customfield_10212,,No Match
Source,Configuration Item ID (migrated) (migrated),customfield_11665,,No Match
Source,RoadMap,customfield_11786,,No Match
Source,Reported during,customfield_10213,,No Match
Source,Goal,customfield_11785,,No Match
Source,Risk and Impact Analysis (migrated) (migrated) (migrated),customfield_11664,,No Match
Source,Targeted Communication Outside of Training Deck?,customfield_10324,,No Match
Source,Approvers: Design Review,customfield_10204,,No Match
Source,Problem Ticket ID,customfield_10325,,No Match
Source,Approvers: Code Review,customfield_10205,,No Match
Source,Impact,customfield_11779,customfield_10004,Different ID
Source,Start Date (migrated) (migrated),customfield_11416,,No Match
Source,Problem Severity,customfield_10326,,No Match
Source,Task Approver,customfield_10206,,No Match
Source,Vulnerability,customfield_11778,customfield_10033,Different ID
Source,Deployed to Pricing,customfield_10327,,No Match
Source,Σ Remaining Estimate,aggregatetimeestimate,aggregatetimeestimate,Jira Native
Source,Task Approval Date,customfield_10207,,No Match
Source,Deployed to Pricing Status,customfield_10328,,No Match
Source,Freeze Approver,customfield_10208,,No Match
Source,Freeze Approval Date,customfield_10209,,No Match
Source,Creator,creator,creator,Jira Native
Source,Deployment Closing Validation,customfield_11771,,No Match
Source,Risk and Impact Analysis (migrated),customfield_10682,,No Match
Source,UAT or Validate Results,customfield_10320,,No Match
Source,Configuration Item ID,customfield_10683,,No Match
Source,Communicated in Training Deck?,customfield_10321,,No Match
Source,Approvers: QA,customfield_10200,,No Match
Source,Policy and Procedure Impact,customfield_10322,,No Match
Source,Approvers: UAT,customfield_10201,,No Match
Source,Modeling Accounting Approver,customfield_10685,,No Match
Source,Training department,customfield_10323,,No Match
Source,Risk Approver Required,customfield_10686,,No Match
Source,Security Code Review (migrated),customfield_10565,,No Match
Source,Emergency Deployment Approver,customfield_10313,,No Match
Source,Emergency Deployment Approval Date,customfield_10314,,No Match
Source,Lane Name,customfield_10315,,No Match
Source,Team Name,customfield_10316,,No Match
Source,Customer Facing?,customfield_10317,,No Match
Source,Pilot,customfield_10318,,No Match
Source,Operations Owner,customfield_10319,,No Match
Source,Time Spent,timespent,timespent,Jira Native
Source,Σ Time Spent,aggregatetimespent,aggregatetimespent,Jira Native
Source,Project overview key,customfield_11762,customfield_10034,Different ID
Source,Functional Test Status,customfield_10310,,No Match
Source,Design,customfield_11761,customfield_10032,Different ID
Source,Start Date (migrated),customfield_10432,,No Match
Source,UAT Test Status,customfield_10311,,No Match
