"Type","Name","Value","Details","Timestamp"
"Summary","Total Source Versions","15","Versions found in source project","2025-10-16 07:22:57"
"Summary","Versions Created","0","New versions created in target","2025-10-16 07:22:57"
"Summary","Existing Versions","0","Versions that already existed","2025-10-16 07:22:57"
"Summary","Failed Versions","15","Versions that failed to create","2025-10-16 07:22:57"
"Version","E-2024.04","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2024.05","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2024.06","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2024.07","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2024.08","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","test","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.01","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.02","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.03","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.04","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.05","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.06","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.07","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.08","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
"Version","E-2025.09","FAILED","Failed to create: Response status code does not indicate success: 400 (Bad Request).","2025-10-16 07:22:57"
